"Participant","Illusion_Type","Illusion_Difference","Illusion_Strength","File","Block","Trial","ISI","RT","Response","Response_Correct","Error","Illusion_Effect","Task_Difficulty","Condition_Illusion","Condition_Difficulty"
"S003","MullerLyer",0.1337,24,"MullerLyer_24.0000_0.13370.png","B",10,944932,0.688,"arrowdown","arrowup",1,"Incongruent",0.1337,"Incongruent - Strong","Hard"
"S003","MullerLyer",-0.045,6,"MullerLyer_6.00000_-0.0450.png","B",11,946291,0.486,"arrowup","arrowdown",1,"Incongruent",0.045,"Incongruent - Mild","Hard"
"S003","MullerLyer",0.1337,18,"MullerLyer_18.0000_0.13370.png","B",12,947469,0.652,"arrowdown","arrowup",1,"Incongruent",0.1337,"Incongruent - Strong","Hard"
"S003","MullerLyer",-0.37364,-24,"MullerLyer_-24.000_-0.37364.png","B",13,949151,0.295,"arrowup","arrowdown",1,"Congruent",0.37364,"Congruent - Strong","Easy"
"S003","MullerLyer",0.045,6,"MullerLyer_6.00000_0.04500.png","B",14,950141,0.137,"arrowup","arrowup",0,"Incongruent",0.045,"Incongruent - Mild","Hard"
"S003","MullerLyer",0.1337,-12,"MullerLyer_-12.000_0.13370.png","B",15,951014,0.108,"arrowup","arrowup",0,"Congruent",0.1337,"Congruent - Mild","Hard"
"S003","MullerLyer",-0.24183,30,"MullerLyer_30.0000_-0.24183.png","B",16,951957,0.014,"arrowup","arrowdown",1,"Incongruent",0.24183,"Incongruent - Strong","Easy"
"S003","MullerLyer",-0.24183,-24,"MullerLyer_-24.000_-0.24183.png","B",17,952617,0.048,"arrowdown","arrowdown",0,"Congruent",0.24183,"Congruent - Strong","Easy"
"S003","MullerLyer",-0.1337,-6,"MullerLyer_-6.0000_-0.1337.png","B",18,953563,0.17,"arrowup","arrowdown",1,"Congruent",0.1337,"Congruent - Mild","Hard"
"S003","MullerLyer",0.045,30,"MullerLyer_30.0000_0.04500.png","B",19,954667,0.161,"arrowup","arrowup",0,"Incongruent",0.045,"Incongruent - Strong","Hard"
"S003","MullerLyer",0.24183,-6,"MullerLyer_-6.0000_0.24183.png","B",20,955760,0.532,"arrowup","arrowup",0,"Congruent",0.24183,"Congruent - Mild","Easy"
"S003","MullerLyer",-0.37364,-30,"MullerLyer_-30.000_-0.37364.png","B",21,957264,0.466,"arrowdown","arrowdown",0,"Congruent",0.37364,"Congruent - Strong","Easy"
"S003","MullerLyer",-0.045,-24,"MullerLyer_-24.000_-0.0450.png","B",22,958524,0.673,"arrowdown","arrowdown",0,"Congruent",0.045,"Congruent - Strong","Hard"
"S003","MullerLyer",0.1337,6,"MullerLyer_6.00000_0.13370.png","B",23,959853,0.529,"arrowup","arrowup",0,"Incongruent",0.1337,"Incongruent - Mild","Hard"
"S003","MullerLyer",0.1337,-6,"MullerLyer_-6.0000_0.13370.png","B",24,961298,0.478,"arrowup","arrowup",0,"Congruent",0.1337,"Congruent - Mild","Hard"
"S003","MullerLyer",0.045,18,"MullerLyer_18.0000_0.04500.png","B",25,962700,0.506,"arrowdown","arrowup",1,"Incongruent",0.045,"Incongruent - Strong","Hard"
"S003","MullerLyer",0.37364,18,"MullerLyer_18.0000_0.37364.png","B",26,964056,0.461,"arrowup","arrowup",0,"Incongruent",0.37364,"Incongruent - Strong","Easy"
"S003","MullerLyer",-0.37364,-18,"MullerLyer_-18.000_-0.37364.png","B",27,965571,0.424,"arrowdown","arrowdown",0,"Congruent",0.37364,"Congruent - Strong","Easy"
"S003","MullerLyer",0.37364,24,"MullerLyer_24.0000_0.37364.png","B",28,967047,0.437,"arrowup","arrowup",0,"Incongruent",0.37364,"Incongruent - Strong","Easy"
"S003","MullerLyer",0.045,-30,"MullerLyer_-30.000_0.04500.png","B",29,968392,0.655,"arrowup","arrowup",0,"Congruent",0.045,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.1337,24,"MullerLyer_24.0000_-0.1337.png","B",30,969694,0.728,"arrowup","arrowdown",1,"Incongruent",0.1337,"Incongruent - Strong","Hard"
"S003","MullerLyer",0.37364,-30,"MullerLyer_-30.000_0.37364.png","B",31,971538,0.466,"arrowup","arrowup",0,"Congruent",0.37364,"Congruent - Strong","Easy"
"S003","MullerLyer",0.24183,-18,"MullerLyer_-18.000_0.24183.png","B",32,972740,0.447,"arrowup","arrowup",0,"Congruent",0.24183,"Congruent - Strong","Easy"
"S003","MullerLyer",0.1337,-30,"MullerLyer_-30.000_0.13370.png","B",33,974232,0.381,"arrowup","arrowup",0,"Congruent",0.1337,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.1337,30,"MullerLyer_30.0000_-0.1337.png","B",34,975625,0.367,"arrowup","arrowdown",1,"Incongruent",0.1337,"Incongruent - Strong","Hard"
"S003","MullerLyer",-0.045,24,"MullerLyer_24.0000_-0.0450.png","B",35,976664,0.434,"arrowup","arrowdown",1,"Incongruent",0.045,"Incongruent - Strong","Hard"
"S003","MullerLyer",-0.24183,-30,"MullerLyer_-30.000_-0.24183.png","B",36,977779,0.344,"arrowup","arrowdown",1,"Congruent",0.24183,"Congruent - Strong","Easy"
"S003","MullerLyer",0.24183,6,"MullerLyer_6.00000_0.24183.png","B",37,979046,0.567,"arrowup","arrowup",0,"Incongruent",0.24183,"Incongruent - Mild","Easy"
"S003","MullerLyer",0.045,12,"MullerLyer_12.0000_0.04500.png","B",38,980595,0.96,"arrowdown","arrowup",1,"Incongruent",0.045,"Incongruent - Mild","Hard"
"S003","MullerLyer",0.24183,18,"MullerLyer_18.0000_0.24183.png","B",39,982637,0.737,"arrowup","arrowup",0,"Incongruent",0.24183,"Incongruent - Strong","Easy"
"S003","MullerLyer",-0.37364,-6,"MullerLyer_-6.0000_-0.37364.png","B",40,984107,0.621,"arrowdown","arrowdown",0,"Congruent",0.37364,"Congruent - Mild","Easy"
"S003","MullerLyer",0.1337,12,"MullerLyer_12.0000_0.13370.png","B",41,985698,1.036,"arrowdown","arrowup",1,"Incongruent",0.1337,"Incongruent - Mild","Hard"
"S003","MullerLyer",-0.37364,18,"MullerLyer_18.0000_-0.37364.png","B",42,987751,1.137,"arrowdown","arrowdown",0,"Incongruent",0.37364,"Incongruent - Strong","Easy"
"S003","MullerLyer",0.37364,12,"MullerLyer_12.0000_0.37364.png","B",43,989546,0.65,"arrowup","arrowup",0,"Incongruent",0.37364,"Incongruent - Mild","Easy"
"S003","MullerLyer",0.37364,6,"MullerLyer_6.00000_0.37364.png","B",44,990911,0.419,"arrowdown","arrowup",1,"Incongruent",0.37364,"Incongruent - Mild","Easy"
"S003","MullerLyer",-0.045,-18,"MullerLyer_-18.000_-0.0450.png","B",45,992421,0.94,"arrowdown","arrowdown",0,"Congruent",0.045,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.1337,-30,"MullerLyer_-30.000_-0.1337.png","B",46,993989,2.823,"arrowdown","arrowdown",0,"Congruent",0.1337,"Congruent - Strong","Hard"
"S003","MullerLyer",-0.1337,-12,"MullerLyer_-12.000_-0.1337.png","B",47,997712,1.049,"arrowdown","arrowdown",0,"Congruent",0.1337,"Congruent - Mild","Hard"
"S003","MullerLyer",-0.24183,24,"MullerLyer_24.0000_-0.24183.png","B",48,999686,0.682,"arrowup","arrowdown",1,"Incongruent",0.24183,"Incongruent - Strong","Easy"
"S003","MullerLyer",-0.37364,12,"MullerLyer_12.0000_-0.37364.png","B",49,1001113,2.636,"arrowdown","arrowdown",0,"Incongruent",0.37364,"Incongruent - Mild","Easy"
"S003","MullerLyer",-0.37364,24,"MullerLyer_24.0000_-0.37364.png","B",50,1004644,2.028,"arrowup","arrowdown",1,"Incongruent",0.37364,"Incongruent - Strong","Easy"
"S003","MullerLyer",0.24183,-30,"MullerLyer_-30.000_0.24183.png","B",51,1007731,1.26,"arrowup","arrowup",0,"Congruent",0.24183,"Congruent - Strong","Easy"
