"Participant","Experimenter","Experiment_Duration","Date","Mobile","Gender","Age","Education","Ethnicity","PID5_Duration","PID5_Order","PID5_NegativeAffect_10","PID5_Antagonism_25","PID5_Psychoticism_24","PID5_NegativeAffect_8","PID5_Detachment_14","PID5_Antagonism_22","PID5_NegativeAffect_9","PID5_Psychoticism_12","PID5_Antagonism_19","PID5_Antagonism_20","PID5_NegativeAffect_11","PID5_Disinhibition_1","PID5_Detachment_13","PID5_Psychoticism_7","PID5_Psychoticism_21","PID5_Disinhibition_6","PID5_Psychoticism_23","PID5_Detachment_18","PID5_Disinhibition_3","PID5_Antagonism_17","PID5_Detachment_4","PID5_Detachment_16","PID5_Disinhibition_5","PID5_Disinhibition_2","PID5_NegativeAffect_15","IPIP6_Duration","IPIP6_Order","IPIP6_Extraversion_1","IPIP6_Agreeableness_2","IPIP6_Conscientiousness_3","IPIP6_Neuroticism_4","IPIP6_Openness_5","IPIP6_HonestyHumility_6_R","IPIP6_Extraversion_7_R","IPIP6_Agreeableness_8_R","IPIP6_Openness_9_R","IPIP6_Conscientiousness_10","IPIP6_Conscientiousness_11_R","IPIP6_HonestyHumility_12_R","IPIP6_Openness_13_R","IPIP6_Agreeableness_14","IPIP6_Neuroticism_15_R","IPIP6_Neuroticism_16","IPIP6_Neuroticism_17_R","IPIP6_HonestyHumility_18_R","IPIP6_Extraversion_19_R","IPIP6_Agreeableness_20_R","IPIP6_Openness_21_R","IPIP6_Conscientiousness_22_R","IPIP6_Extraversion_23","IPIP6_HonestyHumility_24_R","SSS_Duration","SSS_Order","SSS_19","SSS_10","SSS_20","SSS_14","SSS_7","SSS_11","SSS_9","SSS_2","SSS_16","SSS_5","SSS_18","SSS_1","SSS_8","SSS_17","SSS_3","SSS_21","SSS_4","SSS_12","SSS_13","SSS_6","SSS_15","MIST_Duration","MIST_Order","MIST_Real_A_3","MIST_Real_B_6","MIST_Fake_C_13","MIST_Real_B_7","MIST_Fake_D_16","MIST_Fake_C_10","MIST_Fake_D_15","MIST_Fake_C_9","MIST_Real_A_2","MIST_Real_A_1","MIST_Real_B_8","MIST_Real_A_5","MIST_Fake_D_14","MIST_Fake_C_11","MIST_Fake_C_12","MIST_Real_A_4","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","IPIP6_SD","PID5_Disinhibition","PID5_Detachment","PID5_NegativeAffect","PID5_Antagonism","PID5_Psychoticism","PID5_SD","SSS_General","SSS_SD","MIST_RealDetection","MIST_FakeDetection","MIST_Discernment","MIST_Distrust","MIST_Naivete"
"S405","SONA",49.5066166666667,"03/05/2024","False","Female",21,"Bachelor","Asian",4.27131666666667,4,1,1,2,2,0,2,2,0,3,0,1,2,0,2,2,3,2,2,2,0,2,0,3,3,2,8.29338333333333,1,0.82,1,0,0.91,0.67,0.24,0.89,0,0.27,0.71,1,0,0.4,1,0.33,0.87,0.22,0.8,0.26,0,0.29,0.62,0.3,0.3,3.94,2,3,2,2,3,1,0,0,1,2,1,4,1,0,2,3,3,1,0,1,1,0,8.17995,3,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0.4925,0.2725,0.8075,0.6775,0.665,1,0.197452864565609,2.6,0.8,1.6,1.2,1.6,0.877831580412222,0.369047619047619,1.20909253653505,3,4,7,1,-1
"S406","SONA",29.7574333333333,"03/05/2024","False","Other",19,"High School","White",2.13943333333333,4,2,0,2,2,1,0,2,1,1,0,2,2,2,2,2,2,2,1,2,0,2,2,1,1,2,0.938815000001589,2,0.15,0.74,0.31,0.78,0.7,0.07,0.62,0.4,0.37,0.67,0.67,0.28,0.27,0.7,0.34,0.63,0.27,0.27,0.59,0.37,0.37,0.64,0.22,0.43,0.9965,3,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,2.78975,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0.29,0.4175,0.7,0.6725,0.7375,0.6675,0.104141941763055,1.6,1.6,2,0.2,1.8,0.39797446120205,0.166666666666667,0.483045891539648,4,4,8,0,0
"S407","SONA",41.8309333333333,"03/05/2024","False","Female",21,"Bachelor","White",7.97746666666667,2,3,1,2,2,0,0,2,0,2,0,2,1,0,2,2,3,2,2,2,0,2,0,2,2,2,3.31533833333353,4,0,1,0,1,0,0,0.34,0,0.58,0.33,0.98,0.5,0.71,0.88,0.11,1,0.6,0,0.64,0,0,0.68,0,0.5,4.70155,1,4,3,2,2,1,2,0,1,4,1,2,1,3,0,2,4,2,1,3,0,0,3.77123333333333,3,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0.255,0.1675,0.8225,0.4275,0.75,0.97,0.259363831589253,2,0.8,2.2,0.6,1.6,0.807723974739334,0.452380952380952,1.32736760616822,4,1,5,-3,3
"S408","SONA",37.3543666666667,"03/05/2024","False","Male",19,"High School","White",2.05145,4,2,0,2,2,0,0,1,1,1,0,2,0,0,2,2,2,3,1,1,0,2,1,1,0,0,1.3633,2,0.46,0.78,0.4,0.11,0.82,0.31,0.81,0.22,0.28,0.56,0.42,0.5,0.2,0.7,0.71,0.34,0.43,0.45,0.57,0.32,0.36,0.58,0.57,0.52,1.14033333333333,3,3,3,0,1,0,2,2,1,3,1,3,1,0,2,0,2,3,3,2,0,0,1.5113,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0.4125,0.49,0.3275,0.745,0.555,0.735,0.112029224900808,0.8,0.8,1.4,0.2,2,0.744413524150914,0.380952380952381,1.20909253653505,0,0,0,0,0
"S409","SONA",23.03505,"03/05/2024","False","Male",21,"High School","White",2.59035,2,2,1,1,2,1,0,3,1,1,0,2,1,2,0,1,1,2,2,2,0,2,0,2,1,2,1.72961666666667,1,0.26,0.82,0.35,0.6,0.66,0.35,0.3,0.71,0.34,0.66,0.6,0.21,0.56,0.73,0.44,0.38,0.32,0.63,0.56,0.36,0.41,0.4,0.09,0.64,1.86283333333333,3,0,3,0,3,1,1,1,0,1,3,3,2,1,1,3,2,2,1,2,0,0,1.52881666666667,4,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0.3725,0.5025,0.555,0.5875,0.5425,0.62,0.181159359032213,1.4,1.4,2.2,0.4,1,0.628838536539351,0.357142857142857,1.12122382116278,2,2,4,0,0
"S410","SONA",32.8534166666667,"03/05/2024","False","Female",21,"High School","White",8.27858333333333,3,2,1,1,2,3,0,0,3,0,0,1,3,1,2,2,0,1,3,2,2,3,2,2,2,3,2.25057333333343,2,0.18,0.01,0.69,0.31,0.84,0.1,0.92,1,0.32,0.87,0.68,0.97,0.23,0,0,0.07,0.5,0.65,0.79,0.93,0.07,0.74,0.27,0.43,2.92895,4,4,0,0,1,1,1,0,0,1,0,2,0,0,1,0,0,1,1,1,0,0,3.83421666666667,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.185,0.535,0.47,0.805,0.4625,0.02,0.212236959818761,1.8,2.4,1.6,0.6,1.8,0.972226989728675,0.166666666666667,0.966091783079296,4,8,12,4,-4
"S411","SONA",26.8155333333333,"03/05/2024","False","Female",23,"High School","White",2.0812,1,3,1,0,2,0,1,3,2,1,1,2,0,0,2,2,1,2,1,0,2,2,2,0,0,2,1.43633333333333,2,0.07,0.69,0.3,0.68,0.95,0.58,0.8,0.58,0.33,0.69,0.72,0.53,0.85,0.75,0.28,0.79,0.73,0.1,0.65,0.5,0.3,0.61,0.12,0.3,1.58323333333333,4,3,1,1,0,1,1,0,0,2,0,0,0,4,1,3,0,3,3,0,4,0,2.08445,3,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0.185,0.415,0.615,0.6175,0.6225,0.59,0.209897404827739,0.2,1,2.4,1.2,1.6,0.667315387901,0.321428571428571,1.45405835999994,3,2,5,-1,1
"S412","SONA",22.4395,"03/05/2024","False","Female",19,"Bachelor","Black",1.10108333333333,1,2,0,2,2,1,2,2,2,1,1,2,2,3,2,2,2,2,0,2,1,2,2,0,2,2,2.86958333333333,2,0.74,0.87,0.25,0.63,0.64,0.21,0.67,0.65,0.71,0.69,0.74,0.73,0.57,0.75,0.41,0.65,0.65,0.67,0.7,0.7,0.41,0.61,0.64,0.62,0.682166666666667,3,3,3,3,3,0,2,3,3,3,3,3,2,3,3,2,3,3,4,3,3,1,2.21831666666667,4,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0.5025,0.3975,0.555,0.4875,0.4425,0.5675,0.207497113356532,1.6,1.6,2,1,2,0.54834187945712,0.666666666666667,0.856348838577675,4,3,7,-1,1
"S413","SONA",29.0978666666667,"03/05/2024","False","Female",18,"High School","White",3.48545,1,2,0,0,1,1,0,0,2,0,0,0,0,0,1,2,1,2,1,1,0,2,1,1,1,0,1.98686666666667,4,0.31,0.8,0.54,0.57,0.57,0.31,0.46,0.22,0.49,0.5,0.55,0.19,0.31,0.76,0.43,0.5,0.5,0.49,0.76,0.37,0.5,0.5,0.55,0.36,3.89228333333333,3,1,1,2,1,2,2,2,0,0,1,1,1,1,2,1,3,2,2,2,1,0,3.51533333333333,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0.41,0.4975,0.535,0.5675,0.6625,0.7425,0.0873468190935709,0.8,1,0.6,0,1.4,0.588634951737267,0.333333333333333,0.795822425754221,1,3,4,2,-2
"S414","SONA",25.62215,"03/05/2024","False","Male",20,"High School","White",2.50498333333333,4,2,0,1,2,2,0,1,2,0,0,1,2,0,3,0,2,1,2,2,1,1,1,2,1,2,1.40855,3,0.35,0.63,0.58,0.63,0.4,0.17,0.66,0.5,0.36,0.61,0.57,0.29,0.53,0.58,0.39,0.58,0.5,0.5,0.57,0.35,0.45,0.6,0.44,0.38,1.9153,2,1,1,0,3,1,3,0,1,1,1,2,2,2,1,2,2,4,3,2,0,1,2.19888333333333,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0.39,0.505,0.58,0.515,0.665,0.59,0.0874514864915748,1.8,1.2,1.6,0.2,1.4,0.683797040027659,0.392857142857143,1.07570574840095,5,4,9,-1,1
"S415","SONA",53.1952833333333,"03/05/2024","False","Female",20,"High School","White",2.06596666666667,1,1,2,3,3,0,0,3,1,2,0,2,2,0,3,3,2,3,3,2,0,2,0,1,2,3,1.56007333333492,3,0.24,1,0,0.92,0.91,0.53,0.41,0.15,0.04,0.63,0.8,0.61,0.06,1,0.05,0.82,0,0.77,0.62,0.11,0.14,0.87,0.24,0.63,1.61805,4,2,1,0,1,2,2,0,2,1,2,3,1,1,2,3,1,3,4,3,0,0,1.84358333333333,2,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.3625,0.24,0.9225,0.9175,0.365,0.935,0.122385164756084,1.8,1,2.4,0.8,2.6,0.949145330976643,0.404761904761905,1.16086995293144,3,2,5,-1,1
"S416","SONA",20.4356833333333,"03/05/2024","False","Female",18,"High School","South Asian",1.594,3,2,2,2,1,0,0,2,0,3,0,0,2,0,2,3,0,1,0,2,1,1,0,3,1,2,1.45515500000001,1,0.72,1,0.73,0.61,1,1,0.96,0.07,0.19,0.68,0.73,0.72,0.16,1,0.93,0.93,0.64,0.78,0.75,0.15,0.1,0.15,0.58,0.99,1.2441,2,1,3,0,3,4,1,1,1,1,3,3,3,0,1,0,4,2,3,1,1,0,0.988483333333333,4,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0.3975,0.6325,0.4925,0.8875,0.1275,0.945,0.204296989538866,1.6,0.2,1.4,1.2,1.6,0.985166423547736,0.428571428571429,1.34695423615122,5,4,9,-1,1
"S417","SONA",24.7104666666667,"03/05/2024","False","Male",19,"High School","White",2.11845,2,2,1,1,0,0,0,2,0,1,0,2,2,0,1,1,0,1,0,1,1,0,0,2,1,1,1.3109,4,0.89,0.75,0.44,0.51,0.65,0.26,0.13,0.11,0.34,0.63,0.34,0.33,0.33,0.7,0.5,0.3,0.6,0.61,0.33,0.2,0.66,0.65,0.64,0.54,1.99896666666667,3,3,1,0,1,2,3,2,2,3,2,1,1,1,2,1,2,3,4,2,2,0,3.27781666666667,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0.7675,0.52,0.4275,0.58,0.565,0.785,0.131083545920622,1.2,0,1.4,0.6,0.8,0.545204674107823,0.452380952380952,1.03048763306736,0,1,1,1,-1
"S418","SONA",26.04235,"03/05/2024","False","Female",19,"Bachelor","White",1.94058333333333,1,3,0,2,2,0,0,3,2,2,0,2,1,1,2,2,3,3,1,1,0,1,1,1,1,2,1.66846666666667,4,0.86,0.87,0.38,0.81,0.82,0.56,0.3,0.14,0.22,0.34,0.74,0.13,0.21,0.82,0.35,0.79,0.25,0.12,0.53,0.08,0.14,0.86,0.69,0.05,1.67493333333333,2,0,1,1,2,2,1,0,1,0,1,1,1,0,1,1,1,3,3,3,0,0,2.22468333333333,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0.68,0.28,0.75,0.8125,0.785,0.8675,0.107837624346751,1.4,0.8,2.4,0.4,2.2,0.646200826100983,0.273809523809524,0.995226703056239,2,0,2,-2,2
"S419","SONA",23.6541333333333,"03/05/2024","False","Male",20,"High School","White",1.46906666666667,3,1,0,0,3,0,0,1,0,1,1,1,0,0,3,2,1,0,2,1,0,1,2,1,1,2,1.0448,4,0.6,0.7,0.4,0.64,0.8,0.42,0.62,0.27,0.3,0.58,0.65,0.53,0.11,0.64,0.43,0.63,0.25,0.42,0.39,0.34,0.27,0.37,0.63,0.61,1.20041666666667,2,2,1,1,2,1,1,1,2,2,1,2,1,0,1,1,1,2,2,1,1,1,1.25308333333333,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0.555,0.49,0.6475,0.78,0.505,0.6825,0.0909250324054402,0.8,1,1.6,0.4,1,0.860715381275627,0.321428571428571,0.560611910581388,4,0,4,-4,4
"S420","SONA",25.72785,"03/05/2024","False","Male",20,"High School","White",3.0203,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,0,1,0,2,0,1,2,2,1,1,1.65443333333333,4,0.65,0.75,0.77,0.73,0.77,0.61,0.37,0.59,0.27,0.62,0.54,0.66,0.18,0.59,0.54,0.68,0.31,0.14,0.61,0.54,0.15,0.26,0.3,0.67,1.63366666666667,3,3,2,2,2,1,3,3,1,2,2,1,1,3,2,2,1,2,3,2,3,0,2.1877,2,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0.4925,0.6475,0.64,0.7925,0.48,0.5525,0.149492893603441,1.2,1.2,1.6,1.4,1.6,0.73263847181568,0.488095238095238,0.864649667564296,4,2,6,-2,2
"S421","SONA",45.46455,"03/05/2024","False","Female",19,"High School","Middle Eastern",2.91045,3,2,1,0,2,0,2,2,0,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2.95233333333333,2,0.42,0.72,0.22,0.83,0.65,0.5,0.09,0.16,0.23,0.43,0.51,0.52,0.04,0.79,0.21,0.83,0.41,0.58,0.5,0.19,0.2,0.8,0.56,0.78,1.36456666666667,4,2,1,0,3,3,3,3,3,3,2,3,1,2,3,0,3,3,2,3,2,0,1.21516666666667,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.5975,0.335,0.76,0.795,0.405,0.79,0.130699417350968,1.8,1.4,2,1.6,0.8,0.545204674107823,0.535714285714286,1.1084094137869,2,5,7,3,-3
"S422","SONA",24.8686166666667,"03/05/2024","False","Male",20,"High School","White",2.03115,4,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1.74202333333294,1,0.59,0.95,0.4,0.11,0.97,0.16,0.36,0.1,0,0.62,0.63,0.23,0,0.96,0.8,0.06,0.36,0.47,0.4,0.12,0.36,0.09,0.65,0.58,1.67725,3,3,2,0,2,1,2,0,0,3,0,1,1,2,1,3,1,3,3,3,0,1,2.38406666666667,2,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0.62,0.575,0.2525,0.9025,0.64,0.9225,0.159300209711571,0.2,0.2,0.8,0,0.4,0.455761955007832,0.380952380952381,1.16700675315302,2,1,3,-1,1
"S423","Website",29.1140666666667,"03/07/2024","False","Male",18,"High School","Asian",1.745,4,2,2,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,2,0,1,1,1,0,0.936918333333731,2,0.61,0.69,0.72,0.27,0.5,0.5,0.38,0.43,0.66,0.5,0.33,0.76,0.5,0.71,0.53,0.39,0.5,0.62,0.5,0.37,0.34,0.19,0.7,0.5,1.1623,3,1,2,3,2,3,2,2,2,2,1,2,2,1,3,0,2,3,4,3,0,0,2.10985,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0.6075,0.675,0.4075,0.5,0.405,0.65,0.105466194463963,1,0.8,0.4,1.4,0.2,0.467315387901,0.476190476190476,1.09108945117996,1,0,1,-1,1
"S424","Readme",45.24005,"13/07/2024","False","Female",30,"Bachelor","White",0.847283333333333,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,2,3,0,0,2,0,0,3,0,3,0,0.711130000000012,3,0.86,0.19,0.78,0.21,0.79,0.22,0.74,0.23,0.74,0.27,0.7,0.24,0.17,0.77,0.65,0.24,0.84,0.21,0.76,0.21,0.74,0.22,0.77,0,0.64415,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.268866666666667,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5325,0.5325,0.24,0.535,0.8325,0.63,0.236440258518987,1.6,0.6,0.6,0.4,0.4,1.10829948966199,0.5,0,8,0,8,-8,8
"S425","Website",27.7079333333333,"30/09/2024","False","Female",18,"Bachelor","White",2.40813333333333,4,3,0,1,3,0,0,2,0,2,2,2,1,1,2,2,2,2,0,1,0,1,1,2,2,2,1.81023666666647,2,0.7,0.96,0.15,0.67,0.56,0.42,0.25,0.05,0.56,0.64,0.83,0.54,0.4,0.72,0.46,0.84,0.39,0.87,0.36,0.05,0.47,0.46,0.73,1,1.87878333333333,3,3,1,3,2,3,2,0,2,1,2,4,2,2,1,2,4,4,1,3,2,0,2.61186666666667,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0.705,0.375,0.665,0.5325,0.2925,0.895,0.147515019574927,1.6,0.6,2.4,0.8,1.4,0.726607995705149,0.523809523809524,1.17918454470714,4,4,8,0,0
"S426","SONA",66.3894666666667,"07/10/2024","False","Female",19,"High School","White",1.6553,1,0,0,0,1,1,0,1,0,1,0,0,0,1,2,2,1,3,1,1,0,1,0,1,2,0,1.93130499999921,3,0.6,0.89,0.43,0.74,0.67,0.37,0.54,0.25,0.27,0.36,0.58,0.38,0.61,0.91,0.77,0.71,0.44,0.22,0.58,0.29,0.29,0.33,0.61,0.45,1.39206666666667,2,2,1,3,2,1,2,1,2,2,1,2,2,3,0,1,2,3,2,1,1,2,3.70953333333333,4,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0.5225,0.47,0.56,0.625,0.645,0.815,0.137088244118483,1,0.8,0.4,0.2,1.4,0.698179463238301,0.428571428571429,0.783763812819726,3,2,5,-1,1
"S427","SONA",32.42975,"08/10/2024","False","Female",51,"Other","White",3.11165,1,2,0,0,1,0,0,2,0,1,1,1,0,2,1,1,1,0,0,1,0,1,1,0,1,1,2.39918666666746,2,0.58,0.95,0.77,0.57,0.46,0.1,0.3,0.11,0.37,0.7,0.79,0.56,0.55,0.77,0.44,0.6,0.42,0.1,0.68,0.17,0.21,0.74,0.67,0.21,2.25595,4,2,3,0,2,1,0,0,1,3,1,2,1,2,1,3,3,3,3,3,0,0,3.15643333333333,3,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0.5675,0.485,0.5775,0.5825,0.7575,0.86,0.156180381980706,0.6,0.8,1.4,0.4,0.4,0.605510051310948,0.404761904761905,1.20317041503648,0,0,0,0,0
"S428","SONA",24.88275,"08/10/2024","False","Female",19,"High School","White",2.2549,1,1,1,1,2,1,1,2,2,2,0,2,0,1,3,2,2,2,2,1,0,1,2,1,1,2,1.34578166666627,4,0.36,0.8,0.82,0.79,0.66,0.33,0.96,0.3,0.33,0.84,0.21,0.7,0.21,0.6,0.4,0.81,0.5,0.73,0.78,0.58,0.31,0.33,0.55,0.42,1.75803333333333,2,3,1,3,1,3,3,2,2,2,2,3,2,1,3,0,3,3,1,2,3,3,1.50651666666667,3,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0.2925,0.78,0.675,0.7025,0.455,0.63,0.144018840781231,1,1.4,1.8,0.8,2,0.649161948382459,0.547619047619048,0.928388260322567,2,1,3,-1,1
"S429","SONA",27.9379833333333,"08/10/2024","False","Female",20,"High School","White",3.35043333333333,4,3,1,1,1,0,1,2,1,3,1,0,2,0,2,2,1,2,1,0,0,1,0,1,1,2,1.71273833333651,3,0.78,0.85,0.62,0.71,1,0.23,0.11,0.21,0.14,0.67,0.41,0.27,0,1,0.82,0.7,0.22,0.65,0.21,0.16,0.11,0.72,0.82,0.72,2.97563333333333,1,4,2,1,3,2,0,0,1,1,1,2,3,1,1,2,2,1,3,0,0,1,1.95351666666667,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.82,0.54,0.5925,0.9375,0.5325,0.87,0.153409143412945,1,0.4,1.6,1.2,1.6,0.80763448726127,0.369047619047619,1.12334534400814,6,1,7,-5,5
"S430","SONA",28.5471,"08/10/2024","False","Female",18,"Other","White",2.97245,2,0,1,2,0,0,0,0,1,0,0,1,0,1,2,3,0,0,1,2,0,2,2,0,0,1,2.262975,1,0.51,0.54,0.41,0.54,0.72,0.07,0.58,0.56,0.24,0.57,0.44,0.16,0.15,0.37,0.56,0.06,0.5,0,0.54,0.41,0.17,0.17,0.54,0.16,1.52725,3,1,0,0,2,0,2,2,0,0,0,0,1,3,3,0,2,0,1,1,0,0,1.91586666666667,4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0.4825,0.5925,0.385,0.79,0.9025,0.485,0.114184726280252,0.4,1.2,0.4,0.2,1.6,0.773239759127651,0.214285714285714,1.06234242529018,0,3,3,3,-3
"S431","SONA",23.5467333333333,"08/10/2024","False","Female",21,"High School","Asian",2.02516666666667,4,3,2,3,2,1,0,2,0,0,1,3,1,1,0,0,0,3,0,2,0,0,2,0,1,1,1.58778333333333,2,0.2,1,0.07,0.64,1,0.3,0.5,0.68,0.06,0.78,0.71,0.69,0.13,0.78,0.59,0.6,0.31,0.7,0.72,0.76,0.12,0,0.11,0.55,1.57511666666667,1,4,3,0,2,3,4,1,1,4,0,4,3,3,2,4,1,4,4,1,1,0,1.15528333333333,3,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0.2725,0.535,0.585,0.9225,0.44,0.585,0.221631651161331,0.8,0.8,2.2,0.6,1.2,1.00951498862353,0.583333333333333,1.52752523165195,2,3,5,1,-1
"S432","SONA",19.9910833333333,"08/10/2024","False","Female",19,"High School","Asian",1.89346666666667,3,2,1,2,1,2,2,2,0,2,1,2,2,2,2,2,1,2,1,2,1,1,2,2,1,2,0.954991666666667,4,0.61,0.71,0.74,0.66,0.64,0.38,0.5,0.34,0.5,0.59,0.79,0.35,0.71,0.65,0.58,0.58,0.5,0.5,0.58,0.31,0.61,0.34,0.58,0.5,1.83983333333333,1,3,2,1,2,2,3,3,2,1,3,2,3,1,3,3,3,3,3,2,2,0,0.690766666666667,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.5275,0.55,0.54,0.455,0.5675,0.6775,0.113355712600543,1.6,1.6,1.8,1.4,1.6,0.596961691803074,0.55952380952381,0.889087279447969,6,0,6,-6,6
"S433","SONA",32.2288666666667,"08/10/2024","False","Female",19,"High School","Mixed",2.8217,4,3,1,0,1,0,0,1,0,2,1,1,0,2,1,2,2,2,1,0,0,1,0,0,0,2,2.43089333333373,2,0.41,0.59,0.68,0.11,0.43,0,0.28,0.3,0.43,0.71,0.28,0.03,0.39,0.66,0.32,0.84,0.37,0.54,0.35,0.37,0.46,0.26,0.07,0.41,2.48116666666667,3,2,3,0,2,1,4,0,2,3,3,0,2,1,1,3,3,0,3,1,0,1,3.58658333333333,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0.4625,0.7125,0.565,0.5375,0.755,0.645,0.171590137199411,0.4,0.8,1.6,0.8,1,0.892434887013597,0.416666666666667,1.27801930084539,0,2,2,2,-2
"S434","SONA",25.55005,"08/10/2024","False","Female",20,"Bachelor","White",2.67138333333333,4,2,1,1,3,0,1,2,0,2,1,2,0,0,2,2,0,2,1,2,0,2,1,1,1,3,1.83033333333333,1,0.24,0.38,0.8,0.82,0.98,0.23,0.5,0.26,0.25,0.87,0.17,0.81,0.21,0.88,0.06,0.9,0.18,0.14,0.78,0.28,0.19,0.18,0.24,0.14,2.10343333333333,3,3,3,1,2,1,2,1,3,3,3,2,3,1,1,2,4,3,3,2,1,1,2.58911666666667,2,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0.3,0.83,0.87,0.8325,0.67,0.68,0.143273777459276,0.8,0.8,2.4,1,1.4,0.764515316551956,0.535714285714286,0.963624111659432,3,4,7,1,-1
"S435","SONA",29.0570333333333,"09/10/2024","False","Female",19,"High School","White",2.42796666666667,4,0,1,3,3,1,1,2,0,2,0,1,0,1,3,3,2,3,1,1,0,2,1,1,1,2,2.17556666666666,3,0.31,0.87,0.39,0.74,1,0.33,0.63,0.32,0.39,0.72,0.38,0.19,0.08,0.69,0.19,0.79,0.63,0.52,0.63,0.24,0.24,0.04,0.58,0.23,2.11365,2,2,1,1,2,1,3,1,1,3,1,2,3,1,3,0,3,3,0,3,0,0,2.71635,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0.4075,0.6725,0.6775,0.8225,0.6825,0.75,0.161653503766523,1,1.2,1.6,0.8,2.4,0.894559322963919,0.404761904761905,1.16086995293144,0,1,1,1,-1
"S436","SONA",19.1642,"09/10/2024","False","Other",19,"High School","White",1.21773333333333,4,2,2,3,2,0,2,1,0,2,0,2,1,1,1,2,1,3,0,2,0,3,2,2,3,3,1.06864166666667,2,0.69,0.91,0.14,0.68,0.88,0.15,0.7,0.17,0.25,0.57,0.8,0.69,0.03,0.59,0.63,0.22,0.15,0,0.29,0.21,0.04,0.81,0.57,0.23,0.930433333333333,3,4,2,1,2,1,3,0,1,3,2,3,2,3,0,2,2,4,3,3,0,0,1.36056666666667,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0.5675,0.275,0.53,0.89,0.7325,0.78,0.20150253968207,1.8,1.2,2,1.2,1.8,1.0493785769624,0.488095238095238,1.28359613882991,0,0,0,0,0
"S437","SONA",24.4769,"09/10/2024","False","Female",18,"High School","White",1.71585,2,3,0,2,3,0,0,2,1,3,0,2,1,2,3,3,2,1,0,2,0,2,1,0,1,3,2.00344333333333,1,0.58,0.74,0.28,0.6,0.4,0.37,0.74,0.39,0.43,0.9,0.67,0.56,0.23,0.73,0.26,0.81,0.63,0.1,0.78,0.21,0,0.91,0.58,0.33,1.25461666666667,3,2,2,1,3,2,4,1,1,1,2,3,3,3,2,4,4,3,1,3,0,0,1.57391666666667,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.41,0.4,0.63,0.685,0.66,0.7175,0.210668637359969,1.2,1,2.6,0.6,2,0.945204674107823,0.535714285714286,1.2363540870525,6,0,6,-6,6
