Participant,Experimenter,Experiment_Duration,Date,Mobile,Gender,Age,Education,Ethnicity,PID5_Duration,PID5_Order,PID5_NegativeAffect_10,PID5_Antagonism_25,PID5_Psychoticism_24,PID5_NegativeAffect_8,PID5_Detachment_14,PID5_Antagonism_22,PID5_NegativeAffect_9,PID5_Psychoticism_12,PID5_Antagonism_19,PID5_Antagonism_20,PID5_NegativeAffect_11,PID5_Disinhibition_1,PID5_Detachment_13,PID5_Psychoticism_7,PID5_Psychoticism_21,PID5_Disinhibition_6,PID5_Psychoticism_23,PID5_Detachment_18,PID5_Disinhibition_3,PID5_Antagonism_17,PID5_Detachment_4,PID5_Detachment_16,PID5_Disinhibition_5,PID5_Disinhibition_2,PID5_NegativeAffect_15,IPIP6_Duration,IPIP6_Order,IPIP6_Extraversion_1,IPIP6_Agreeableness_2,IPIP6_Conscientiousness_3,IPIP6_Neuroticism_4,IPIP6_Openness_5,IPIP6_HonestyHumility_6_R,IPIP6_Extraversion_7_R,IPIP6_Agreeableness_8_R,IPIP6_Openness_9_R,IPIP6_Conscientiousness_10,IPIP6_Conscientiousness_11_R,IPIP6_HonestyHumility_12_R,IPIP6_Openness_13_R,IPIP6_Agreeableness_14,IPIP6_Neuroticism_15_R,IPIP6_Neuroticism_16,IPIP6_Neuroticism_17_R,IPIP6_HonestyHumility_18_R,IPIP6_Extraversion_19_R,IPIP6_Agreeableness_20_R,IPIP6_Openness_21_R,IPIP6_Conscientiousness_22_R,IPIP6_Extraversion_23,IPIP6_HonestyHumility_24_R,SSS_Duration,SSS_Order,SSS_19,SSS_10,SSS_20,SSS_14,SSS_7,SSS_11,SSS_9,SSS_2,SSS_16,SSS_5,SSS_18,SSS_1,SSS_8,SSS_17,SSS_3,SSS_21,SSS_4,SSS_12,SSS_13,SSS_6,SSS_15,MIST_Duration,MIST_Order,MIST_Real_A_3,MIST_Real_B_6,MIST_Fake_C_13,MIST_Real_B_7,MIST_Fake_D_16,MIST_Fake_C_10,MIST_Fake_D_15,MIST_Fake_C_9,MIST_Real_A_2,MIST_Real_A_1,MIST_Real_B_8,MIST_Real_A_5,MIST_Fake_D_14,MIST_Fake_C_11,MIST_Fake_C_12,MIST_Real_A_4
S021,SONA,27.9557,15/10/2024,False,Female,19,High School,White,2.3741833333333333,3,1,1,2,2,0,1,3,1,3,2,2,1,3,2,2,2,2,0,2,0,3,1,1,1,3,2.007190000001589,1,0.73,0.79,0.59,0.78,0.71,0.51,0.25,0.37,0.28,0.74,0.58,0.33,0.14,0.07,0.31,0.79,0.23,0.14,0.24,0.28,0.35,0.34,0.33,0.15,1.8454166666666665,4,2,3,3,1,1,2,2,0,1,2,2,1,2,2,0,3,3,2,2,0,2,1.9998333333333334,2,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0
S022,SONA,61.79665,17/10/2024,False,Female,19,High School,White,1.93245,4,3,1,2,3,1,0,3,0,1,0,2,0,0,0,2,1,3,1,0,0,2,1,0,1,3,1.1750833333333355,3,0.99,1.0,0.72,0.87,0.5,0.5,0.28,0.29,0.43,0.85,0.24,0.63,0.45,0.91,0.05,0.89,0.59,0.98,0.58,0.72,0.42,0.45,0.33,0.33,1.3981999999999999,1,1,3,3,3,3,2,2,3,2,2,3,2,3,2,3,2,4,3,3,0,0,1.2511833333333333,2,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0
S023,SONA,22.560299999999998,17/10/2024,False,Female,18,Bachelor,White,2.3897166666666667,1,3,0,0,3,0,0,2,3,2,0,2,0,1,2,1,1,3,2,0,0,0,0,0,2,2,1.289205000001192,2,0.22,0.95,0.79,0.35,0.91,0.04,0.59,0.14,0.21,0.87,0.19,0.35,0.01,0.91,0.32,0.58,0.27,0.09,0.67,0.3,0.15,0.29,0.4,0.56,1.3362666666666667,3,3,2,1,2,4,2,1,3,3,2,2,2,2,3,0,3,3,4,3,4,0,1.43865,4,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0
S024,SONA,103.99098333333333,24/10/2024,False,Female,18,High School,White,1.6984166666666667,1,2,0,1,2,0,0,3,2,2,0,1,1,0,1,1,0,2,0,0,0,1,0,1,1,2,0.8404366666674613,4,0.59,0.92,0.45,0.7,0.72,0.35,0.69,0.21,0.61,0.71,0.38,0.5,0.31,0.79,0.6,0.92,0.63,0.2,0.52,0.21,0.65,0.12,0.34,0.13,1.1915833333333334,3,3,2,0,2,1,1,1,2,2,2,2,2,1,2,0,4,4,3,2,1,0,1.6282833333333333,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
S025,SONA,31.30636666666667,27/10/2024,False,Male,20,High School,Middle Eastern,5.4418500000000005,2,1,2,2,0,0,1,0,1,0,1,2,1,1,3,3,2,2,0,2,0,1,0,2,2,0,1.845300000000002,3,0.72,0.71,0.66,0.17,0.6,0.58,0.35,0.4,0.35,0.36,0.58,0.75,0.26,0.67,0.65,0.15,0.79,0.5,0.33,0.3,0.12,0.55,0.74,0.29,2.1712166666666666,1,4,3,0,0,3,1,1,1,2,2,0,1,2,0,1,1,4,4,2,3,3,7.9179,4,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0
S026,SONA,26.978333333333335,28/10/2024,False,Female,19,High School,Middle Eastern,2.319,1,1,3,2,1,1,2,1,0,2,1,3,1,2,2,2,1,1,2,1,1,2,3,2,1,3,1.5825333333333333,4,0.61,0.21,0.44,0.64,0.0,0.63,0.34,0.81,0.73,0.67,0.31,0.66,1.0,0.25,0.65,0.31,0.34,0.29,0.6,0.33,0.64,0.15,0.64,0.63,1.62735,3,4,1,0,2,3,3,2,3,3,3,2,2,2,3,2,3,2,1,3,3,0,2.75325,2,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0
S027,SONA,1369.9059000000002,28/10/2024,False,Female,19,High School,White,1.6159333333333334,3,3,2,2,2,0,2,3,0,3,2,2,3,0,2,2,2,2,3,2,0,2,2,2,2,2,1.735736666663488,4,1.0,1.0,0.24,0.69,0.77,0.35,0.0,0.0,0.0,0.72,0.72,0.69,0.0,1.0,0.21,1.0,0.01,0.53,0.06,0.09,0.09,0.3,0.99,0.58,0.9593166666666666,2,3,0,1,1,1,2,2,1,1,1,2,1,2,3,1,1,3,3,2,0,1,1.0802166666666666,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0
S028,SONA,25.427266666666664,29/10/2024,False,Female,20,High School,White,1.7625666666666668,1,3,2,2,2,0,0,2,0,0,0,1,1,0,2,2,1,1,0,2,0,1,0,2,2,1,1.1506833333333333,4,0.75,0.93,0.43,0.55,0.94,0.33,0.22,0.17,0.46,0.61,0.59,0.28,0.0,0.76,0.66,0.9,0.63,0.39,0.16,0.0,0.32,0.63,0.8,0.58,1.6719166666666667,3,2,1,2,2,2,2,2,3,2,2,2,3,2,3,1,3,3,4,3,1,0,2.9635333333333334,2,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0
S029,SONA,43.01731666666667,02/11/2024,False,Female,18,Other,White,1.9244833333333333,2,1,0,2,2,1,0,2,1,0,0,2,1,0,2,2,2,2,2,1,1,2,2,0,2,2,1.4237966666668656,1,0.38,0.67,0.73,0.91,0.68,0.02,0.63,0.42,0.55,0.56,0.64,0.39,0.45,0.61,0.61,0.61,0.55,0.05,0.58,0.56,0.59,0.6,0.42,0.55,1.6992666666666667,4,1,2,0,1,0,1,0,1,0,0,3,1,3,0,1,0,3,2,1,0,0,2.77005,3,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1
S030,SONA,22.00075,06/11/2024,False,Female,19,High School,White,1.9494166666666668,2,1,2,3,2,1,0,2,2,2,1,2,0,3,3,3,0,2,2,2,0,2,2,0,1,2,1.504271666665872,1,0.37,0.81,0.63,0.66,0.23,0.5,0.33,0.12,0.17,0.87,0.25,0.54,0.81,0.76,0.24,0.38,0.56,0.15,0.35,0.15,0.21,0.12,0.62,0.21,1.1857333333333335,4,2,2,3,0,2,2,0,1,1,1,1,1,2,1,0,2,2,2,2,0,0,1.3329166666666665,3,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
S031,SONA,33.51626666666667,25/11/2024,False,Female,18,High School,White,8.645033333333334,1,2,0,1,2,0,0,2,0,2,0,2,0,1,1,1,1,1,0,1,0,1,1,0,1,1,2.209946666665872,2,0.28,1.0,0.7,0.71,0.28,0.34,0.5,0.02,0.16,0.86,0.19,0.54,0.44,0.95,0.34,0.8,0.33,0.33,0.32,0.16,0.12,0.22,0.71,0.25,2.4739,3,2,2,0,2,3,2,1,2,2,2,3,3,3,2,2,1,2,4,2,1,0,1.6240833333333333,4,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0
S032,Experimenter_C,25.45635,10/03/2026,False,Female,25,Bachelor,Mixed,2.0105166666666667,3,2,0,1,2,0,0,2,1,2,1,2,0,0,0,0,0,2,1,1,0,0,0,0,1,1,1.4896583333333333,2,1.0,1.0,0.96,0.66,0.77,0.45,0.0,0.0,0.1,0.88,0.05,0.66,0.0,1.0,0.55,0.57,0.64,0.21,0.0,0.0,0.08,0.0,0.79,0.04,1.7535666666666667,4,2,2,1,2,4,2,0,3,0,2,1,3,1,2,1,3,2,3,2,0,0,2.1839500000000003,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0
